Metric,Better_is,Overall_p_value,Significant,N_significant_pairs,Best_cohort,Worst_cohort
Image Quality Rating,lower,0.0,Ja,21,SRBPSnii,NUdatanii
Surface IQR Rating,lower,3.0823246347583614e-112,Ja,20,NSSnii,mcicnii
Surface Euler Number (Rating),lower,9.757220557516728e-62,Ja,15,NSSnii,SRBPSnii
Surface Defect Area (Rating),lower,2.9073520733186003e-48,Ja,18,NSSnii,NUdatanii
Surface Intensity RMSE,lower,9.744082435773032e-119,Ja,18,NSSnii,NUdatanii
Surface Position RMSE,lower,1.5733159488688447e-99,Ja,18,whitecatnii,NUdatanii
Noise-to-Contrast Ratio,lower,3.4277499532632596e-110,Ja,19,ixinii,NUdatanii
Inhomogeneity-to-Contrast Ratio,lower,1.7957951805818776e-187,Ja,19,mcicnii,whitecatnii
Contrast (absolute),higher,3.5214028035788845e-247,Ja,21,SRBPSnii,mcicnii
Contrast Ratio (normalized),higher,2.1555214636415612e-222,Ja,18,SRBPSnii,NUdatanii
